Job_ID,Job_Title,Industry,Skills_Required,Education_Required,Experience_Level,Location,Salary_Range,Demand_Level,,,,,
1,Software Engineer,IT,"Python, Java, SQL, Problem-Solving",Bachelors in Computer Science,Mid-level,Colombo,150000-200000,High,,,,,
2,Data Analyst,IT,"Python, R, Excel, Data Visualization",Bachelors in Data Science,Entry-level,Kandy,100000-130000,Medium,,,,,
3,Network Administrator,IT,"Networking, Cybersecurity, Linux",Diploma in IT,Mid-level,Galle,120000-160000,Medium,,,,,
4,Web Developer,IT,"HTML, CSS, JavaScript, React",Bachelors in Software Engineering,Entry-level,Colombo,110000-140000,High,,,,,
5,Registered Nurse,Healthcare,"Patient Care, Medical Knowledge, Communication",Diploma in Nursing,Mid-level,Jaffna,90000-120000,High,,,,,
6,Teacher,Education,"Teaching, Communication, Subject Expertise",Bachelors in Education,Entry-level,Matara,80000-100000,Medium,,,,,
7,Software Engineer,IT,"Java, Spring Boot, Agile Methodologies",Bachelors in Computer Science,Senior-level,Colombo,200000-250000,High,,,,,
8,Data Scientist,IT,"Machine Learning, Python, Statistics",Masters in Data Science,Mid-level,Kandy,180000-220000,High,,,,,
9,HR Manager,Human Resources,"Recruitment, Leadership, Communication",Bachelors in HR Management,Senior-level,Colombo,140000-180000,Medium,,,,,
10,Accountant,Finance,"Accounting, Tally, Analytical Skills",Bachelors in Accounting,Mid-level,Galle,100000-130000,Medium,,,,,
11,DevOps Engineer,IT,"AWS, Docker, Kubernetes, CI/CD",Bachelors in Computer Science,Mid-level,Colombo,160000-200000,High,,,,,
12,Mobile App Developer,IT,"Flutter, Dart, Android Development",Bachelors in Software Engineering,Entry-level,Kandy,110000-150000,High,,,,,
13,Medical Officer,Healthcare,"Clinical Skills, Diagnosis, Communication",MBBS,Senior-level,Jaffna,200000-250000,High,,,,,
14,Lecturer,Education,"Teaching, Research, Communication",Masters in Education,Mid-level,Matara,100000-130000,Medium,,,,,
15,Business Analyst,IT,"Requirements Analysis, SQL, Communication",Bachelors in Business Information Systems,Mid-level,Colombo,130000-160000,High,,,,,
16,Financial Analyst,Finance,"Financial Modeling, Excel, Analytical Skills",Bachelors in Finance,Entry-level,Galle,100000-120000,Medium,,,,,
17,UI/UX Designer,IT,"Figma, Adobe XD, User Research",Bachelors in Design,Entry-level,Colombo,100000-140000,High,,,,,
18,Pharmacist,Healthcare,"Pharmacy, Patient Counseling, Drug Knowledge",Bachelors in Pharmacy,Mid-level,Jaffna,90000-120000,Medium,,,,,
